Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42198070,A Brightness Long Ago,Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""""","=""""",4,4.18,Hodder & Stoughton,Kindle Edition,448,2019,2019,2021/07/25,2019/11/10,,,read,,,,1,0
53916142,A Life on Our Planet: My Witness Statement and a Vision for the Future,David Attenborough,"Attenborough, David",Jonnie Hughes,"=""1538719983""","=""9781538719985""",4,4.52,Grand Central Publishing,Hardcover,272,2020,2020,,2020/12/15,,,read,,,,2,0
53490148,The Ickabog,J.K. Rowling,"Rowling, J.K.",,"=""1510202250""","=""9781510202252""",0,3.94,"Little, Brown Books for Young Readers",Hardcover,290,2020,2020,,2021/07/08,to-read,to-read (#21),to-read,,,,0,0
108490,The Conquest of New Spain,Bernal Díaz del Castillo,"Castillo, Bernal Díaz del",J.M. Cohen,"=""0140441239""","=""9780140441239""",0,4.12,Penguin Classics,Paperback,416,1973,1568,,2021/03/13,to-read,to-read (#20),to-read,,,,0,0
35657708,How to Build a Car: The Autobiography of the World’s Greatest Formula 1 Designer,Adrian Newey,"Newey, Adrian",,"=""000819680X""","=""9780008196806""",5,4.50,HarperCollins,Hardcover,400,2017,2017,2021/03/08,2021/02/24,,,read,,,,1,0
3974,The Terror,Dan Simmons,"Simmons, Dan",,"=""0316017442""","=""9780316017442""",3,4.07,"Little, Brown and Company",Hardcover,769,2007,2007,2021/01/28,2020/12/29,,,read,,,,1,0
49823690,Löytöretki suomeen,Kersti Juva,"Juva, Kersti",,"=""9518581045""","=""9789518581041""",0,3.76,SKS,Paperback,413,2019,2019,,2021/01/19,to-read,to-read (#19),to-read,,,,0,0
679547,The Mongols,David O. Morgan,"Morgan, David O.",,"=""0631175636""","=""9780631175636""",0,3.71,Wiley-Blackwell,Paperback,238,1991,1983,,2021/01/14,to-read,to-read (#18),to-read,,,,0,0
16241133,The History of the Renaissance World: From the Rediscovery of Aristotle to the Conquest of Constantinople,Susan Wise Bauer,"Bauer, Susan Wise",,"=""0393059766""","=""9780393059762""",0,4.15,W. W. Norton  Company,Hardcover,785,2013,2013,,2021/01/14,to-read,to-read (#17),to-read,,,,0,0
6484128,The History of the Medieval World: From the Conversion of Constantine to the First Crusade,Susan Wise Bauer,"Bauer, Susan Wise",,"=""0393059758""","=""9780393059755""",0,4.10,W. W. Norton & Company,Hardcover,746,2010,2010,,2021/01/14,to-read,to-read (#16),to-read,,,,0,0
40718726,Genghis Khan and the Making of the Modern World,Jack Weatherford,"Weatherford, Jack",,"=""""","=""""",4,4.04,Broadway Books,Kindle Edition,352,2005,2004,2021/01/14,2020/10/28,,,read,,,,1,0
35404398,A River in Darkness: One Man's Escape from North Korea,Masaji Ishikawa,"Ishikawa, Masaji","Risa Kobayashi, Martin Brown","=""""","=""""",5,4.27,AmazonCrossing,Kindle Edition,174,2018,2000,2021/01/06,2021/01/04,,,read,,,,1,0
6178648,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,"Demick, Barbara",,"=""0385523904""","=""9780385523905""",0,4.44,Spiegel & Grau,Hardcover,316,2009,2009,,2021/01/06,to-read,to-read (#15),to-read,,,,0,0
49771904,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",4,4.19,Gateway,Kindle Edition,228,2012,1959,2020/12/30,2020/12/18,,,read,,,,1,0
6060179,Hadrian and the Triumph of Rome,Anthony Everitt,"Everitt, Anthony",,"=""140006662X""","=""9781400066629""",0,3.89,Random House,Hardcover,392,2009,2009,,2020/12/30,to-read,to-read (#14),to-read,,,,0,0
13155133,The Rise of Rome: The Making of the World's Greatest Empire,Anthony Everitt,"Everitt, Anthony",,"=""1400066638""","=""9781400066636""",0,3.95,Random House (NY),Hardcover,480,2012,2012,,2020/12/30,to-read,to-read (#13),to-read,,,,0,0
11253689,"The Rise of Endymion (Hyperion Cantos, #4)",Dan Simmons,"Simmons, Dan",,"=""""","=""""",4,4.17,Gateway,Kindle Edition,722,2010,1997,2020/12/25,2020/08/12,,,read,,,,1,0
12329009,Postwar: A History of Europe Since 1945,Tony Judt,"Judt, Tony",,"=""""","=""""",4,4.37,,Kindle Edition,960,,2005,2020/12/20,2020/10/18,,,read,,,,1,0
331669,Jennifer Government,Max Barry,"Barry, Max",,"=""1400030927""","=""9781400030927""",0,3.67,Vintage,Paperback,321,2004,2002,,2020/12/19,to-read,to-read (#12),to-read,,,,0,0
187065,"New Spring (The Wheel of Time, #0)",Robert Jordan,"Jordan, Robert",,"=""1841492612""","=""9781841492612""",0,4.05,Orbit,Paperback,423,2004,2004,,2020/12/19,to-read,to-read (#11),to-read,,,,0,0
84593,Cicero: The Life and Times of Rome's Greatest Politician,Anthony Everitt,"Everitt, Anthony",,"=""037575895X""","=""9780375758959""",4,3.87,Random House,Paperback,364,2003,2001,2020/07/31,2020/08/04,,,read,,,,1,0
38401,Company,Max Barry,"Barry, Max",,"=""1400079373""","=""9781400079377""",0,3.74,Vintage,Paperback,338,2007,2006,,2020/12/18,to-read,to-read (#10),to-read,,,,0,0
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",0,4.13,Random House,Hardcover,375,2012,2012,,2020/10/20,to-read,to-read (#9),to-read,,,,0,0
40789626,"Endymion (Hyperion Cantos, #3)",Dan Simmons,"Simmons, Dan",,"=""""","=""""",3,4.18,Gateway,Kindle Edition,578,2010,1996,2020/10/18,2020/08/12,,,read,,,,1,0
