Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9539,"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,"Jordan, Robert",,"=""0812513738""","=""9780812513738""",4,4.27,Tom Doherty Tor Fantasy,Mass Market Paperback,1007,1993,1992,2019/07/30,2019/07/08,,,read,,,,1,0
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",5,4.29,PanMacmillan,Hardcover,600,2015,2015,,2019/07/24,,,read,,,,1,0
34897,"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,"Jordan, Robert",,"=""0765305119""","=""9780765305114""",4,4.27,Tor Books,Mass Market Paperback,624,2002,1991,2019/07/08,2019/06/21,,,read,,,,1,0
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.33,Bantam,Kindle Edition,1125,2011,2011,,2019/06/21,,,read,,,,1,0
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",5,4.15,Bantam Books,Mass Market Paperback,1061,2011,2005,,2019/06/21,,,read,,,,1,0
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",5,4.54,Bantam,Mass Market Paperback,1177,2003,2000,,2019/06/21,,,read,,,,1,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",5,4.41,Bantam,Paperback,969,2002,1998,,2019/06/21,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2019/06/21,,,read,,,,1,0
260025,"Test of the Twins (Dragonlance: Legends, #3)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786933887""","=""9780786933884""",4,4.19,Wizards of the Coast,Hardcover,320,2004,1986,,2019/06/21,,,read,,,,1,0
93768,"War of the Twins (Dragonlance: Legends, #2)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786932171""","=""9780786932177""",4,4.15,Wizards of the Coast,Hardcover,411,2004,1986,,2019/06/21,,,read,,,,1,0
29187,"Time of the Twins (Dragonlance: Legends, #1)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786931582""","=""9780786931583""",4,4.17,Wizards of the Coast,Kindle Edition,389,2004,1986,,2019/06/21,,,read,,,,1,0
68380,"Dragonlance Chronicles (Dragonlance, #1-3)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0880386525""","=""9780880386524""",4,4.24,TSR,Paperback,1030,1988,1985,,2019/06/21,,,read,,,,1,0
15808474,"River of Stars (Under Heaven, #2)",Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""0451464974""","=""9780451464972""",4,4.14,Roc,Hardcover,639,2013,2013,,2019/06/21,,,read,,,,1,0
7139892,"Under Heaven (Under Heaven, #1)",Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""0007342012""","=""9780007342013""",5,4.16,HarperVoyager,Hardcover,573,2010,2010,,2019/06/21,,,read,,,,1,0
233649,"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,"Jordan, Robert",,"=""0812517725""","=""9780812517729""",4,4.26,Tor Books,Mass Market Paperback,705,1991,1990,,2019/06/21,,,read,,,,1,0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",4,4.19,Tor Books,Mass Market Paperback,800,1990,1990,,2019/06/21,,,read,,,,1,0
