Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",3,4.02,Crown,Hardcover,342,2006,2006,2023/05/08,2021/12/16,,,read,,,,1,0
66430143,The Three-Body Problem (The Three-Body Problem #1),Cixin Liu,"Liu, Cixin",Ken Liu,"=""""","=""""",4,4.09,Head of Zeus,Kindle Edition,400,2015,2006,2023/04/15,2023/04/08,,,read,,,,1,0
50663055,Elder Race,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1250768721""","=""9781250768728""",4,4.15,Tordotcom,Paperback,201,2021,2021,2023/05/01,2023/02/23,,,read,,,,1,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",4,4.43,TOR,Hardcover,604,2016,2010,2023/04/25,2023/04/20,,,read,,,,1,0
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217857""","=""9781473217850""",0,4.49,Gollancz,Hardcover,513,2018,2018,,2023/04/21,to-read,to-read (#49),to-read,,,,0,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu","Bruno Roubicek, Joel Martinsen, Eisso Post, Richard Heufkens","=""""","=""""",4,4.41,Tor Books,Hardcover,512,2015,2008,2023/04/19,2023/04/17,,,read,,,,1,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.00,William Morrow,Kindle Edition,872,2015,2015,,2023/04/17,to-read,to-read (#48),to-read,,,,0,0
